YEAR,MONTH,PTPM_CON,HRA2_AUT_60_MEAN,HRA2_AUT_60_AMAX,HRA2_AUT_60_AMIN,TA2_AUT_60_MEAN,TA2_AUT_60_AMAX,TA2_AUT_60_AMIN,NINO1+2,ANOM,NINO3,ANOM.1,NINO4,ANOM.2,NINO3.4,ANOM.3,CONFIRMED_CASES,ALL_CASES
2010,12,160.40000000000003,78.60970723237655,99.0,47.0,23.523583271353864,31.4,18.9,21.480000000000008,-1.340000000000001,23.5,-1.6400000000000003,26.88999999999999,-1.6000000000000008,24.95000000000001,-1.6199999999999994,130.0,347.0
2011,1,46.99999999999999,71.34005376344085,97.0,46.0,24.68333333333334,32.1,18.6,24.080000000000005,-0.4399999999999999,24.30999999999998,-1.32,26.720000000000017,-1.579999999999999,24.929999999999986,-1.6400000000000003,99.0,292.0
2011,2,98.4,75.5625,99.0,46.0,24.133184523809526,32.0,18.9,26.220000000000017,0.08000000000000003,25.549999999999994,-0.8200000000000002,26.95000000000001,-1.1499999999999992,25.460000000000004,-1.27,79.0,215.0
2011,3,60.6,73.85483870967741,98.0,43.0,24.015322580645154,33.0,17.8,26.210000000000008,-0.4299999999999998,26.38999999999999,-0.75,27.41999999999999,-0.7699999999999997,26.23000000000001,-0.9800000000000003,67.0,183.0
2011,4,195.99999999999997,78.625,98.0,49.0,23.801666666666662,32.7,19.0,25.759999999999994,0.16000000000000006,27.179999999999986,-0.3200000000000001,27.86000000000001,-0.6400000000000002,27.01999999999999,-0.7600000000000003,39.0,109.0
2011,5,168.99999999999994,76.14247311827958,99.0,49.0,24.717876344086022,32.8,18.8,24.88999999999999,0.6199999999999999,26.940000000000023,-0.14000000000000004,28.279999999999983,-0.5099999999999999,27.41999999999999,-0.4299999999999998,64.0,160.0
2011,6,71.3,76.31944444444443,98.0,47.0,24.282222222222224,32.4,17.6,23.720000000000017,0.8500000000000003,26.539999999999996,0.10000000000000005,28.47000000000002,-0.36999999999999983,27.46000000000001,-0.18,50.0,142.0
2011,7,141.9,75.91446725317694,98.0,39.0,23.715940860215056,34.2,18.1,22.07000000000001,0.44999999999999973,25.61000000000001,-0.010000000000000004,28.47000000000002,-0.33,26.96000000000001,-0.25999999999999984,57.0,176.0
2011,8,11.8,68.32634992987376,97.0,30.0,26.12319469901625,35.7,18.7,20.63999999999999,0.0,24.58000000000001,-0.42,28.320000000000018,-0.35999999999999993,26.190000000000023,-0.6400000000000002,75.0,209.0
2011,9,107.19999999999999,70.31039353158918,97.0,27.0,25.000018295295586,34.6,19.1,19.75,-0.59,24.220000000000017,-0.6300000000000002,28.04999999999999,-0.6400000000000002,25.98000000000001,-0.7399999999999997,48.0,122.0
2011,10,171.0,77.20051850907392,98.0,44.0,23.288777721566074,31.7,16.1,20.190000000000012,-0.6000000000000001,23.970000000000017,-0.9499999999999995,27.940000000000023,-0.7199999999999999,25.720000000000017,-0.9699999999999995,55.0,124.0
2011,11,157.4,77.40785494698538,98.0,48.0,23.9719407468538,31.9,18.5,20.79,-0.8000000000000004,23.88999999999999,-1.09,27.87,-0.7699999999999997,25.600000000000012,-1.0500000000000005,35.0,107.0
2011,12,371.09999999999997,78.52965944761178,99.0,47.0,24.2943289440925,32.3,19.3,21.850000000000012,-0.9600000000000006,24.20000000000001,-0.9400000000000004,27.38999999999999,-1.1000000000000005,25.529999999999983,-1.0399999999999994,45.0,140.0
2012,1,89.6,74.88795741425476,98.0,45.0,24.22695025287943,32.3,18.7,23.88,-0.6400000000000002,24.899999999999988,-0.7300000000000003,27.090000000000007,-1.2100000000000006,25.490000000000006,-1.0799999999999992,113.0,225.0
2012,2,108.49999999999999,73.34193049579109,99.0,46.0,24.271287489372195,31.4,18.0,26.29999999999999,0.16000000000000006,26.19000000000002,-0.18,27.20000000000001,-0.8999999999999996,26.029999999999983,-0.69,105.0,254.0
2012,3,113.79999999999998,74.53598145321867,97.0,42.0,24.832757024446238,33.4,19.1,26.909999999999997,0.2699999999999998,26.91999999999999,-0.21,27.529999999999983,-0.66,26.63,-0.5799999999999997,151.0,332.0
2012,4,244.6,77.70580121526919,99.0,49.0,23.894729583620883,32.9,18.4,26.899999999999984,1.2999999999999998,27.580000000000005,0.08000000000000003,28.159999999999993,-0.3399999999999999,27.38,-0.39000000000000007,83.0,217.0
2012,5,125.10000000000001,75.31168546264098,98.0,39.0,24.655246366905406,34.1,18.3,25.48000000000001,1.2000000000000002,27.23000000000001,0.15000000000000002,28.52999999999998,-0.25999999999999984,27.799999999999986,-0.050000000000000024,70.0,236.0
2012,6,84.3,68.51278819416726,96.0,39.0,25.563361336905846,33.2,18.7,24.470000000000017,1.590000000000001,27.090000000000007,0.66,28.73000000000001,-0.10999999999999997,27.95000000000001,0.3099999999999999,74.0,204.0
2012,7,3.0999999999999996,68.18559873849348,94.0,30.0,25.48629385054231,34.4,18.1,22.61000000000001,0.9899999999999993,26.539999999999992,0.9200000000000008,28.86000000000001,0.06000000000000004,27.75,0.5299999999999998,96.0,213.0
2012,8,20.9,65.83233873520322,97.0,27.0,25.7553958232104,36.2,18.8,20.990000000000006,0.3499999999999998,25.720000000000017,0.7300000000000003,29.100000000000016,0.42,27.549999999999986,0.7300000000000003,78.0,228.0
2012,9,60.7,63.43616737548901,95.0,26.0,26.032269231947474,36.1,18.9,20.83,0.49000000000000016,25.279999999999983,0.4299999999999998,29.12,0.4299999999999998,27.240000000000006,0.5099999999999999,100.0,238.0
2012,10,151.70000000000002,73.01885748947474,97.0,38.0,24.4762090933478,33.1,18.4,20.679999999999993,-0.10999999999999997,24.929999999999986,0.010000000000000004,29.159999999999993,0.5,26.98000000000001,0.28999999999999987,104.0,262.0
2012,11,89.50000000000001,73.20101543487496,97.0,45.0,24.823312332500528,32.5,19.2,21.21,-0.38000000000000017,25.11000000000001,0.14000000000000007,29.16999999999999,0.5399999999999996,27.009999999999994,0.36,121.0,274.0
2012,12,109.6,71.42142326674718,96.0,48.0,25.385067801643586,32.3,19.7,22.13,-0.6799999999999998,24.909999999999997,-0.2300000000000002,28.71000000000001,0.2300000000000002,26.460000000000008,-0.10999999999999997,174.0,386.0
2013,1,13.0,66.18945883679264,95.0,43.0,26.645871960641692,34.5,20.5,24.0,-0.5199999999999997,25.05999999999998,-0.5700000000000002,28.279999999999983,-0.020000000000000007,26.159999999999997,-0.4100000000000001,381.0,888.0
2013,2,113.1,74.09107174698464,98.0,45.0,24.717088794119686,32.4,18.9,25.740000000000006,-0.4100000000000001,25.899999999999984,-0.46000000000000035,28.05999999999998,-0.040000000000000015,26.320000000000014,-0.4000000000000002,646.0,1415.0
2013,3,70.00000000000001,73.87411431485766,97.0,45.0,25.207127905988354,33.7,17.6,26.710000000000008,0.07000000000000002,27.21000000000001,0.07000000000000002,27.950000000000014,-0.24000000000000016,27.0,-0.21999999999999995,775.0,1811.0
2013,4,155.9,74.43970355731226,97.0,46.0,25.24211067193676,33.6,19.8,24.740000000000006,-0.8599999999999997,27.350000000000016,-0.15,28.47000000000002,-0.03000000000000002,27.679999999999986,-0.10000000000000005,1637.0,3339.0
2013,5,160.0,78.78602317504841,98.0,53.0,24.022576470981097,31.2,18.5,22.88999999999999,-1.3800000000000001,26.38999999999999,-0.6900000000000001,28.71000000000001,-0.08000000000000003,27.570000000000018,-0.2699999999999998,1411.0,3080.0
2013,6,8.899999999999999,71.53688405797101,99.0,46.0,25.300344202898547,32.7,19.1,21.480000000000008,-1.3999999999999992,25.79999999999999,-0.6400000000000002,28.759999999999994,-0.08000000000000003,27.429999999999986,-0.21,1053.0,2522.0
2013,7,88.7,67.79166666666666,96.0,38.0,25.380241935483873,33.7,18.8,20.29,-1.329999999999999,24.970000000000017,-0.66,28.759999999999994,-0.040000000000000015,26.909999999999997,-0.30999999999999994,1213.0,3111.0
2013,8,98.5,69.55510752688173,97.0,32.0,25.077822580645154,35.4,18.3,19.660000000000004,-0.9800000000000003,24.44000000000002,-0.5500000000000003,28.71000000000001,0.03000000000000002,26.539999999999992,-0.2800000000000001,713.0,1926.0
2013,9,85.60000000000001,68.46059251738599,96.0,36.0,25.626341176939,35.2,19.0,19.779999999999983,-0.5700000000000002,24.720000000000017,-0.12999999999999992,28.700000000000014,0.010000000000000004,26.649999999999984,-0.07000000000000003,539.0,1303.0
2013,10,265.8,73.75195655209681,99.0,41.0,24.66995888053041,33.5,18.4,20.160000000000004,-0.6300000000000001,24.70000000000001,-0.21,28.700000000000017,0.040000000000000015,26.36000000000001,-0.33,393.0,1007.0
2013,11,95.39999999999999,75.50898660518227,98.0,47.0,24.105647233201584,33.3,18.0,21.05999999999999,-0.5399999999999996,24.809999999999985,-0.16999999999999996,28.909999999999993,0.2699999999999998,26.649999999999984,0.010000000000000004,292.0,755.0
2013,12,111.00000000000001,75.93225443052395,99.0,49.0,24.269132065168282,32.4,18.3,22.61000000000001,-0.2000000000000001,25.100000000000012,-0.040000000000000015,28.63999999999999,0.15000000000000002,26.529999999999983,-0.040000000000000015,285.0,672.0
2014,1,156.09999999999997,73.6637166596844,98.0,47.0,24.796245818230393,32.1,18.6,24.789999999999992,0.2699999999999998,25.259999999999994,-0.3699999999999998,28.13999999999999,-0.16999999999999996,26.059999999999977,-0.5099999999999999,405.0,905.0
2014,2,84.10000000000002,74.09060253712816,98.0,47.0,24.757729166231236,31.8,18.7,25.399999999999988,-0.75,25.559999999999985,-0.8099999999999998,28.37,0.26999999999999985,26.179999999999986,-0.5500000000000003,222.0,611.0
2014,3,161.89999999999998,76.23191429980665,99.0,45.0,24.59361897867518,33.4,17.3,25.86000000000001,-0.7800000000000002,26.899999999999984,-0.24000000000000016,28.71000000000001,0.5199999999999997,26.990000000000006,-0.21999999999999995,173.0,577.0
2014,4,138.0,74.3909530083443,99.0,43.0,25.129376372419845,33.4,18.0,25.23000000000001,-0.36999999999999983,27.73000000000001,0.23000000000000018,29.13,0.6300000000000002,28.009999999999994,0.24000000000000016,213.0,660.0
2014,5,186.89999999999998,76.53629032258063,99.0,46.0,24.62083333333334,32.3,19.3,25.570000000000014,1.2999999999999996,27.690000000000023,0.6099999999999998,29.559999999999974,0.7699999999999997,28.309999999999977,0.4600000000000004,202.0,638.0
2014,6,40.2,72.59305555555557,99.0,39.0,25.235416666666666,34.3,17.5,24.509999999999994,1.6400000000000003,27.320000000000014,0.8900000000000003,29.429999999999982,0.59,28.11000000000001,0.46000000000000035,204.0,604.0
2014,7,11.3,67.85483870967742,98.0,30.0,25.991666666666656,35.9,17.4,22.980000000000008,1.3599999999999997,26.26999999999999,0.6499999999999998,29.090000000000007,0.28999999999999987,27.399999999999984,0.17999999999999997,274.0,727.0
2014,8,30.1,66.98252688172042,97.0,30.0,25.25631720430108,35.6,16.5,21.91,1.2700000000000005,25.509999999999994,0.5199999999999997,29.13999999999999,0.4600000000000004,27.01999999999999,0.2000000000000001,247.0,675.0
2014,9,47.099999999999994,69.30641367912537,97.0,28.0,25.139201945080092,35.9,17.1,21.299999999999997,0.9600000000000006,25.309999999999985,0.4499999999999998,29.340000000000007,0.6499999999999999,27.169999999999995,0.4499999999999998,192.0,608.0
2014,10,124.69999999999999,74.84677904759516,98.0,34.0,24.44014916915482,34.8,18.3,21.539999999999996,0.75,25.58000000000001,0.66,29.309999999999974,0.6400000000000002,27.16999999999999,0.49000000000000016,215.0,569.0
2014,11,147.0,76.79452191909283,99.0,49.0,24.1809352428337,32.7,18.2,22.330000000000002,0.7399999999999997,25.88,0.91,29.51999999999999,0.8799999999999998,27.5,0.8500000000000003,197.0,603.0
2014,12,58.599999999999994,73.76637693994859,98.0,47.0,24.746842030700456,34.6,18.3,22.899999999999988,0.08000000000000003,25.940000000000023,0.8000000000000004,29.399999999999984,0.91,27.350000000000016,0.7800000000000002,194.0,571.0
