YEAR,WEEK,PTPM_CON,HRA2_AUT_60_MEAN,HRA2_AUT_60_AMAX,HRA2_AUT_60_AMIN,TA2_AUT_60_MEAN,TA2_AUT_60_AMAX,TA2_AUT_60_AMIN,NINO1+2,ANOM,NINO3,ANOM.1,NINO4,ANOM.2,NINO3.4,ANOM.3,CONFIRMED_CASES,ALL_CASES
2015,51,20.0,70.67857142857143,93.0,44.0,25.78333333333333,33.3,20.8,25.009999999999998,2.19,27.990000000000002,2.8500000000000005,30.110000000000007,1.6299999999999994,29.389999999999993,2.82,94.0,334.0
2015,52,0.0,67.45238095238095,93.0,41.0,26.44166666666667,34.1,19.8,25.009999999999998,2.19,27.990000000000002,2.8500000000000005,30.110000000000007,1.6299999999999994,29.389999999999993,2.82,103.0,337.0
2015,53,6.4,67.24404761904762,94.0,42.0,27.07202380952381,34.7,21.3,25.404285714285717,1.8557142857142856,28.084285714285716,2.7342857142857144,29.912857142857145,1.5099999999999998,29.295714285714293,2.725714285714286,115.0,370.0
2016,01,4.7,71.13690476190476,93.0,46.0,26.05654761904762,33.3,21.0,25.930000000000003,1.41,28.210000000000004,2.5800000000000005,29.650000000000002,1.3499999999999999,29.17000000000001,2.6,132.0,422.0
2016,02,0.0,66.61309523809523,96.0,45.0,26.393452380952386,33.0,20.5,25.930000000000003,1.41,28.210000000000004,2.5800000000000005,29.650000000000002,1.3499999999999999,29.17000000000001,2.6,186.0,539.0
2016,03,20.8,65.28950216450217,95.0,43.0,27.02050865800866,34.0,21.2,25.930000000000003,1.41,28.210000000000004,2.5800000000000005,29.650000000000002,1.3499999999999999,29.17000000000001,2.6,216.0,700.0
2016,04,5.6,66.12111801242236,93.0,44.0,26.542598343685302,33.1,21.5,25.930000000000003,1.41,28.210000000000004,2.5800000000000005,29.650000000000002,1.3499999999999999,29.17000000000001,2.6,198.0,735.0
2016,05,0.6,66.43452380952381,94.0,41.0,26.525,34.1,20.5,26.81,0.67,28.360000000000007,1.99,29.550000000000004,1.4499999999999997,29.12,2.4,245.0,865.0
2016,06,0.0,64.60714285714286,90.0,42.0,27.576785714285716,35.2,21.8,26.81,0.67,28.360000000000007,1.99,29.550000000000004,1.4499999999999997,29.12,2.4,273.0,1029.0
2016,07,13.600000000000001,66.94047619047619,95.0,40.0,27.371428571428567,36.4,21.0,26.81,0.67,28.360000000000007,1.99,29.550000000000004,1.4499999999999997,29.12,2.4,254.0,900.0
2016,08,0.7,70.375,96.0,45.0,26.61785714285714,33.5,21.7,26.81,0.67,28.360000000000007,1.99,29.550000000000004,1.4499999999999997,29.12,2.4,284.0,966.0
2016,09,39.8,74.02380952380953,96.0,45.0,25.7,33.6,20.7,27.461428571428566,0.8928571428571429,28.651428571428568,1.6300000000000001,29.532857142857146,1.3557142857142856,28.931428571428572,1.7828571428571427,225.0,861.0
2016,10,23.3,74.98214285714286,98.0,47.0,25.43690476190476,32.1,20.1,27.569999999999997,0.9299999999999999,28.699999999999996,1.57,29.53,1.34,28.900000000000002,1.68,287.0,934.0
2016,11,11.5,73.75,98.0,50.0,26.41904761904762,32.9,21.3,27.569999999999997,0.9299999999999999,28.699999999999996,1.57,29.53,1.34,28.900000000000002,1.68,216.0,744.0
2016,12,0.6,68.47619047619048,90.0,45.0,27.372023809523807,34.7,22.2,27.569999999999997,0.9299999999999999,28.699999999999996,1.57,29.53,1.34,28.900000000000002,1.68,132.0,469.0
2016,13,123.5,78.07142857142857,98.0,46.0,25.10773809523809,33.9,20.3,26.82428571428571,0.6300000000000001,28.545714285714286,1.2571428571428573,29.469999999999995,1.147142857142857,28.88714285714286,1.4271428571428573,179.0,691.0
2016,14,16.9,74.16071428571429,95.0,51.0,26.026785714285715,32.8,21.6,25.82999999999999,0.23,28.34,0.84,29.389999999999993,0.8899999999999999,28.87,1.09,192.0,705.0
2016,15,81.2,78.0952380952381,98.0,52.0,24.925000000000004,33.0,20.6,25.82999999999999,0.23,28.34,0.84,29.389999999999993,0.8899999999999999,28.87,1.09,200.0,643.0
2016,16,9.0,72.92857142857143,96.0,44.0,26.22380952380953,33.7,21.3,25.82999999999999,0.23,28.34,0.84,29.389999999999993,0.8899999999999999,28.87,1.09,173.0,618.0
2016,17,56.699999999999996,81.47619047619047,98.0,52.0,24.323809523809526,31.3,19.9,25.647142857142853,0.23571428571428574,28.16428571428571,0.7242857142857143,29.389999999999993,0.8485714285714285,28.767142857142858,0.9771428571428571,170.0,617.0
2016,18,16.3,76.98214285714286,97.0,51.0,25.082738095238096,32.5,19.5,24.550000000000004,0.27,27.110000000000007,0.03,29.389999999999993,0.6,28.150000000000002,0.3,187.0,762.0
2016,19,42.699999999999996,77.84523809523809,98.0,48.0,25.202380952380956,35.0,19.9,24.550000000000004,0.27,27.110000000000007,0.03,29.389999999999993,0.6,28.150000000000002,0.3,134.0,730.0
2016,20,24.4,73.5,96.0,54.0,26.675,33.6,21.5,24.550000000000004,0.27,27.110000000000007,0.03,29.389999999999993,0.6,28.150000000000002,0.3,111.0,834.0
2016,21,34.2,77.29166666666666,97.0,52.0,24.948809523809526,34.5,17.5,24.550000000000004,0.27,27.110000000000007,0.03,29.389999999999993,0.6,28.150000000000002,0.3,169.0,823.0
2016,22,41.1,74.54761904761905,96.0,49.0,24.642261904761902,32.4,18.0,23.56428571428572,0.2842857142857143,26.53857142857143,-0.07714285714285715,29.368571428571435,0.5428571428571429,27.707142857142856,0.0,122.0,644.0
2016,23,7.1000000000000005,73.18452380952381,95.0,53.0,24.474404761904765,32.2,18.8,23.169999999999998,0.29,26.31,-0.12,29.360000000000007,0.52,27.53,-0.12,114.0,688.0
2016,24,48.3,71.45833333333334,93.0,51.0,24.450595238095236,31.7,18.2,23.169999999999998,0.29,26.31,-0.12,29.360000000000007,0.52,27.53,-0.12,143.0,777.0
2016,25,66.7,74.57142857142856,97.0,52.0,24.726785714285718,31.6,19.6,23.169999999999998,0.29,26.31,-0.12,29.360000000000007,0.52,27.53,-0.12,99.0,739.0
2016,26,11.0,71.17261904761905,95.0,42.0,25.424999999999994,34.1,19.2,22.578571428571426,0.23857142857142852,25.808571428571423,-0.2742857142857143,29.231428571428573,0.4085714285714285,27.187142857142852,-0.2785714285714286,107.0,536.0
2016,27,12.1,72.33333333333333,96.0,40.0,24.772619047619052,33.7,18.4,21.789999999999996,0.16999999999999998,25.140000000000004,-0.48,29.06,0.26,26.729999999999997,-0.4900000000000001,97.0,463.0
2016,28,0.3,68.875,91.0,44.0,25.08511904761905,32.9,19.3,21.789999999999996,0.16999999999999998,25.140000000000004,-0.48,29.06,0.26,26.729999999999997,-0.4900000000000001,64.0,451.0
2016,29,0.1,69.39285714285714,91.0,48.0,24.471003401360544,32.4,19.0,21.789999999999996,0.16999999999999998,25.140000000000004,-0.48,29.06,0.26,26.729999999999997,-0.4900000000000001,64.0,323.0
2016,30,0.0,68.31547619047618,94.0,43.0,24.913214285714282,33.4,16.8,21.789999999999996,0.16999999999999998,25.140000000000004,-0.48,29.06,0.26,26.729999999999997,-0.4900000000000001,77.0,296.0
2016,31,0.0,64.98214285714285,90.0,39.0,25.63690476190476,34.4,18.8,21.03,0.39000000000000007,24.53,-0.46,28.680000000000003,0.0,26.28,-0.54,43.0,260.0
2016,32,1.0,65.22619047619048,90.0,40.0,25.98690476190476,34.3,19.5,21.03,0.39000000000000007,24.53,-0.46,28.680000000000003,0.0,26.28,-0.54,84.0,289.0
2016,33,1.0,65.10351966873705,92.0,27.0,26.36093073593074,36.0,18.4,21.03,0.39000000000000007,24.53,-0.46,28.680000000000003,0.0,26.28,-0.54,32.0,196.0
2016,34,12.0,62.25595238095237,88.0,26.0,25.178365384615383,33.7,18.2,21.03,0.39000000000000007,24.53,-0.46,28.680000000000003,0.0,26.28,-0.54,50.0,242.0
2016,35,30.7,70.69047619047619,97.0,43.0,25.032142857142862,33.2,19.3,20.938571428571432,0.47000000000000003,24.610000000000007,-0.3,28.565714285714282,-0.12,26.18285714285715,-0.58,16.0,187.0
2016,36,25.0,73.84523809523809,98.0,47.0,24.85654761904762,32.6,18.7,20.87,0.5300000000000001,24.669999999999998,-0.17999999999999997,28.479999999999997,-0.21,26.110000000000007,-0.61,40.0,188.0
2016,37,14.299999999999999,72.54761904761905,97.0,40.0,24.790476190476195,32.8,18.6,20.87,0.5300000000000001,24.669999999999998,-0.17999999999999997,28.479999999999997,-0.21,26.110000000000007,-0.61,48.0,182.0
2016,38,16.200000000000003,68.79761904761905,95.0,41.0,25.963690476190475,33.1,18.9,20.87,0.5300000000000001,24.669999999999998,-0.17999999999999997,28.479999999999997,-0.21,26.110000000000007,-0.61,29.0,192.0
2016,39,92.4,73.69047619047619,98.0,46.0,24.708333333333332,32.4,19.3,20.958571428571428,0.4900000000000001,24.61285714285714,-0.2571428571428571,28.417142857142856,-0.2642857142857143,26.067142857142862,-0.6442857142857142,36.0,171.0
2016,40,56.1,78.80357142857143,97.0,50.0,23.803571428571423,30.8,19.0,21.180000000000003,0.39000000000000007,24.47,-0.45000000000000007,28.259999999999998,-0.39999999999999997,25.960000000000004,-0.7299999999999999,29.0,142.0
2016,41,21.5,77.5952380952381,97.0,52.0,24.27916666666667,31.4,19.2,21.180000000000003,0.39000000000000007,24.47,-0.45000000000000007,28.259999999999998,-0.39999999999999997,25.960000000000004,-0.7299999999999999,27.0,139.0
2016,42,30.399999999999995,73.94642857142857,96.0,51.0,24.83690476190476,31.6,19.1,21.180000000000003,0.39000000000000007,24.47,-0.45000000000000007,28.259999999999998,-0.39999999999999997,25.960000000000004,-0.7299999999999999,32.0,163.0
2016,43,47.3,74.67857142857143,96.0,49.0,24.45595238095238,31.7,19.6,21.180000000000003,0.39000000000000007,24.47,-0.45000000000000007,28.259999999999998,-0.39999999999999997,25.960000000000004,-0.7299999999999999,24.0,148.0
2016,44,12.5,73.70238095238095,96.0,52.0,25.0297619047619,31.2,20.4,21.60857142857143,0.13285714285714284,24.564285714285713,-0.4071428571428571,28.26857142857143,-0.3742857142857144,26.079999999999995,-0.5757142857142856,33.0,164.0
